orig_sent,sent_id,simp_sent,fluency,meaning,simplicity,ref_1,bt_de,bt_zh
"One side of the armed conflicts is composed mainly of the Sudanese military and the Janjaweed, a Sudanese militia group recruited mostly from the Afro-Arab Abbala tribes of the northern Rizeigat region in Sudan.",1,One side and is composed a Sudanese militia group recruited from the Abbala tribes of Rizeigat Sudan in the region.,55.33333333,34.66666667,34.06666667,"On one side of the conflicts are the Sudanese military and the Janjaweed, a Sudanese militia group.  They are mostly recruited from the Afro-Arab Abbala tribes.","On one side of the conflicts are the Sudanese military and the Janjaweed, a Sudanese militia group. They primarily recruit from the Afro-Arab Abbala tribes.","The conflict involves the Sudanese army and the Sudanese militia group known as the ""Janjaweed,"" who primarily recruit members from the Afro-Arab Abbala tribe."
The Great Dark Spot is thought to represent a hole in the methane cloud deck of Neptune.,3,The Great Dark Spot is thought to be a hole in the cloud deck of Neptune.,86.26666667,85.86666667,78.53333333,The dark spot on Ne;tune may be a hole in the methane clouds.,The dark spot on Neptune could be a hole in the methane clouds.,The dark spots on Neptune might be gaps in the methane clouds.
"The tarantula, the trickster character, spun a black cord and, attaching it to the ball, crawled away fast to the east, pulling on the cord with all his strength.",5,"The crawled, the trickster character, builds a black cord and, connects it to the ball, tarantula away fast to the east, pulling on the cord with all his strength.",24.8,45.46666667,31.53333333,"The tarantula spun a black cord and attached it to the ball. It crawled away fast to the east, pulling on the cord.","The tarantula spun a black thread and attached it to the sphere. Then it quickly scurried east, dragging the thread behind it.","The tarantula spun a black thread, attached it to the ball, and quickly crawled east, pulling the thread along."
"There he died six weeks later, on 13 January 888.",6,"There, he died.",81.86666667,44.06666667,54.26666667,He died there six weeks later on 13 January 888.,"He died there six weeks later, on January 13, 888.","He passed away there on January 13, 888, at the age of six weeks."
They are culturally akin to the coastal peoples of Papua New Guinea.,7,They are culturally referring to the coastal peoples of Papua New Guinea.,93.6,50.73333333,46.06666667,They are culturally similar to the coastal peoples of Papua New Guinea.,They are culturally similar to the coastal peoples of Papua New Guinea.,They are culturally similar to the people of the coastal regions of Papua New Guinea.
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",8,", the recipient has been presented.",44.06666667,8.533333333,18.73333333,"Since 2000, the recipient of the Kate Greenaway Medal has also won the £5000 Colin Mears Award.","Since the year 2000, the winner of the Kate Greenaway Medal has also received the Colin Mears Award, which comes with a prize of £5,000.","Since 2000, the winner of the Kate Greenaway Medal has also received the Colin Mears Award of £5,000."
"Following the drummers are dancers, who often play the sogo (a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.",9,"Following the drummers are dancers, who often play the sogo (a small drum that makes almost no sound) and tend to have more elaborate -- even acrobatic -- choreography.",88,85.06666667,58.8,"After the drummers are dancers, who often play the sogo (a tiny drum making almost no sound) and usually hav more elaborate — even acrobatic — choreography.","After the drummers come the dancers, who often play the Sogo (a small drum that produces almost no sound) and usually perform a more elaborate, sometimes even acrobatic, choreography.","Following the drummers are the dancers, who usually play the sogo (a small drum that produces very little sound), and their choreography is more intricate, even incorporating acrobatic elements."
"The spacecraft consists of two main elements: the NASA Cassini orbiter, named after the Italian-French astronomer Giovanni Domenico Cassini, and the ESA Huygens probe, named after the Dutch astronomer, mathematician and physicist Christiaan Huygens.",10,"The spacecraft is named after the Italian-French astronomer Giovanni Domenico Cassini, and the ESA Huygens probe, named after the Dutch astronomer, mathematician and physicist Christiaan Huygens.",81.8,52.4,49.53333333,"The spacecraft's two main elements are the NASA Cassini orbiter, named after the Italian-French astronomer Giovanni Domenico Cassini, and the ESA Huygens probe, named after the Dutch astronomer, mathematician and physicist Christiaan Huygens.","The two main components of the spacecraft are NASA's Cassini orbiter, named after the Italian-French astronomer Giovanni Domenico Cassini, and ESA's Huygens probe, named after the Dutch astronomer, mathematician, and physicist Christiaan Huygens.","The spacecraft is composed of two main parts: NASA's Cassini orbiter, named after the Italian-French astronomer Giovanni Domenico Cassini, and ESA's Huygens probe, named after the Dutch astronomer, mathematician, and physicist Christiaan Huygens."
"Alessandro (""Sandro"") Mazzola (born 8 November 1942) is an Italian former football player.",11,Sandro Mazzola (born 8 November 1942) is a former Italian football player.,95.2,89.66666667,72.8,"Alessandro (""Sandro"") Mazzola (born 8 November 1942) is an Italian former footballer.","Alessandro (""Sandro"") Mazzola (born on November 8, 1942) is a former Italian football player.","Alessandro (""Sandro"") Mazzola (born November 8, 1942) is a former Italian football player."
"However, the BZÖ differs a bit in comparison to the Freedom Party, as is in favor of a referendum about the Lisbon Treaty but against an EU-Withdrawal.",14,"However, the BZÖ differs a little bit in respect to the Freedom Party, as is in favour of a poll about the Lisbon Treaty but from an EU-Withdrawal.",64.93333333,69.13333333,41.86666667,"However, the BZO is not the same as the Freedom Party.","However, the BZÖ is not the same as the Freedom Party.","However, the BZO is not the same as the Freedom Party."
"Many species had vanished by the end of the nineteenth century, with European settlement.",15,"Species had vanished,.",48.53333333,40.86666667,58.4,Many species had vanished with European settlement.,Many species disappeared with the European settlement.,Many species disappeared with the settlement of Europeans.
In 1987 Wexler was inducted into the Rock and Roll Hall of Fame.,16,In 1987 Wexler became part of the Rock and Roll Hall of Fame.,91.66666667,90.13333333,72.06666667,In 1987 Wexler was recognized into the Rock and Roll Hall of Fame.,"In 1987, Wexler was inducted into the Rock and Roll Hall of Fame.","In 1987, Wexler was inducted into the Rock and Roll Hall of Fame."
"In its pure form, dextromethorphan occurs as a white powder.",17,"In its, it is a white powder.",27.26666667,25.33333333,19.4,Dextromethorphan appears as a white powder in its natural form.,Dextromethorphan naturally occurs as a white powder.,Dextromethorphan appears as a white powder in its natural state.
Admission to Tsinghua is extremely competitive.,18,Admission to Tsinghua is very competitive.,95.2,97.8,74,It is very hard to be admitted to Tsinghua.,It is very difficult to get accepted into Tsinghua University.,Getting into Tsinghua University is very difficult.
"Today NRC is organised as an independent, private foundation.",19,"Today NRC is organised,.",55.33333333,30.33333333,46.2,"NRC is run as an independent, private foundation.","The NRC is operated as an independent, private foundation.",NRC is an independently operated private foundation.
"It is situated at the coast of the Baltic Sea, where it encloses the city of Stralsund.",20,"It is located at the shore of the Baltic Sea, where it is located at the shore of the borough of Stralsund.",66.6,65.8,29.46666667,It is located at the coast of the Baltic Sea and encloses the city of Stralsund.,It is located on the Baltic Sea coast and surrounds the city of Stralsund.,"It is located on the Baltic Sea coast, surrounding the city of Stralsund."
"He was also named 1982 ""Sportsman of the Year"" by Sports Illustrated.",21,"1982 he was named ""Sportsman.""",55.06666667,20.93333333,24.93333333,"He was Sports Illustrated's ""Sportsman of the Year"" in 1982 .","In 1982, he was named ""Sportsman of the Year"" by Sports Illustrated.","In 1982, he was named ""Sportsman of the Year"" by Sports Illustrated."
Both names became defunct in 2007 when they were merged into The National Museum of Scotland.,24,The National Museum of Scotland is a city of location@2 in the location@3.,41.6,16.13333333,24.46666667,Both names became unused when they joined The National Museum of Scotland.,Both names were no longer used once they became part of the National Museum of Scotland.,"After they were incorporated into the National Museum of Scotland, these two names were no longer used."
